regional,sigla_estados_regional,provincia_eclesiastica,papel_na_provincia,tipo_circunscricao,circunscricao,ano_criacao,url_cnbb_regional,fonte_wikipedia,estado,municipio_sede,regiao,bairro,endereco,nome_da_igreja_paroquia,cnpj,canal_de_doacoes,contato,nome_do_paroco
Regional Norte II,"PA, AP",Província Eclesiástica de Belém do Pará,sufragânea,Diocese,Diocese de Cametá,2013,https://www.cnbb.org.br/norte-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Norte II,"PA, AP",Província Eclesiástica de Santarém,sede metropolitana,Arquidiocese,Arquidiocese de Santarém,2019,https://www.cnbb.org.br/norte-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Norte II,"PA, AP",Província Eclesiástica de Santarém,sufragânea,Prelazia,Prelazia de Itaituba,1988,https://www.cnbb.org.br/norte-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Norte II,"PA, AP",Província Eclesiástica de Santarém,sufragânea,Diocese,Diocese de Óbidos,2011,https://www.cnbb.org.br/norte-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Norte II,"PA, AP",Província Eclesiástica de Santarém,sufragânea,Diocese,Diocese de Xingu-Altamira,2019,https://www.cnbb.org.br/norte-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Norte II,"PA, AP",Província Eclesiástica de Santarém,sufragânea,Prelazia,Prelazia de Alto Xingu-Tucumã,2019,https://www.cnbb.org.br/norte-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Norte III,"TO, PA, MT",Província Eclesiástica de Palmas,sede metropolitana,Arquidiocese,Arquidiocese de Palmas,1996,https://www.cnbb.org.br/norte-3/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Norte III,"TO, PA, MT",Província Eclesiástica de Palmas,sufragânea,Diocese,Diocese de Porto Nacional,1915,https://www.cnbb.org.br/norte-3/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Norte III,"TO, PA, MT",Província Eclesiástica de Palmas,sufragânea,Prelazia,Prelazia de São Félix,1969,https://www.cnbb.org.br/norte-3/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Norte III,"TO, PA, MT",Província Eclesiástica de Palmas,sufragânea,Diocese,Diocese de Santíssima Conceição do Araguaia,1979,https://www.cnbb.org.br/norte-3/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Norte III,"TO, PA, MT",Província Eclesiástica de Palmas,sufragânea,Diocese,Diocese de Tocantinópolis,1980,https://www.cnbb.org.br/norte-3/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Norte III,"TO, PA, MT",Província Eclesiástica de Palmas,sufragânea,Diocese,Diocese de Miracema do Tocantins,1989,https://www.cnbb.org.br/norte-3/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Norte III,"TO, PA, MT",Província Eclesiástica de Palmas,sufragânea,Diocese,Diocese de Cristalândia,2019,https://www.cnbb.org.br/norte-3/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Norte III,"TO, PA, MT",Província Eclesiástica de Palmas,sufragânea,Diocese,Diocese de Araguaína,2023,https://www.cnbb.org.br/norte-3/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste I,CE,Província Eclesiástica de Fortaleza,sede metropolitana,Arquidiocese,Arquidiocese de Fortaleza,1915,https://www.cnbb.org.br/nordeste-1/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste I,CE,Província Eclesiástica de Fortaleza,sufragânea,Diocese,Diocese de Crato,1914,https://www.cnbb.org.br/nordeste-1/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
